#{"t_start": 1787330953.0356958, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,247.916471
-100.0,100,248.398586
-100.0,100,248.890798
-100.0,100,249.473931
-100.0,100,250.016437
-96.0,100,250.579618
-100.0,100,251.158078
-100.0,100,251.759868
-100.0,100,252.356929
-100.0,100,252.952662
-100.0,100,253.555863
-100.0,100,254.152278
-100.0,100,254.758261
-100.0,100,255.36095
-100.0,100,255.963942
-100.0,100,256.578704
-100.0,100,257.246989
-100.0,100,257.87688
-100.0,100,258.485346
-100.0,100,259.106797
-100.0,100,259.718695
-100.0,100,260.331153
-100.0,100,260.928871
-100.0,100,261.530894
-100.0,100,262.116223
-100.0,100,262.738662
-100.0,100,263.316518
-100.0,100,263.914436
-99.0,100,264.583756
-100.0,100,265.198283
-100.0,100,265.791903
-100.0,100,266.395347
-100.0,100,267.02054
-100.0,100,267.612715
-100.0,100,268.253711
-100.0,100,268.860975
-89.0,100,269.488793
-100.0,100,270.10585
-100.0,100,270.73559
-100.0,100,271.351659
-100.0,100,273.45431
-100.0,100,273.950368
-100.0,100,274.483352
-100.0,100,275.033719
-100.0,100,275.613356
-100.0,100,276.216528
-100.0,100,276.852713
-100.0,100,277.516709
-100.0,100,278.179553
-100.0,100,278.775766
-100.0,100,279.36975
-100.0,100,280.002412
-100.0,100,280.669374
-100.0,100,281.29327
-100.0,100,281.923304
-100.0,100,282.553584
-100.0,100,283.180434
-100.0,100,283.815349
-100.0,100,284.517056
-100.0,100,285.178461
-100.0,100,285.836561
-100.0,100,286.440697
-100.0,100,287.050129
-100.0,100,287.667303
-100.0,100,288.273412
-100.0,100,288.85149
-100.0,100,289.449826
-100.0,100,290.051457
-100.0,100,290.639427
-100.0,100,291.24507
-100.0,100,291.932495
-90.0,100,292.569432
-94.0,100,293.211372
-100.0,100,293.835359
-100.0,100,294.429438
-100.0,100,295.024919
-100.0,100,295.63756
-100.0,100,296.253139
-100.0,100,296.862093
-94.0,100,297.46715
-100.0,100,298.069105
-100.0,100,300.148627
-100.0,100,300.65434
-100.0,100,301.196263
-100.0,100,301.76766
-100.0,100,302.357536
-97.0,100,302.961066
-100.0,100,303.554092
-100.0,100,304.17522
-100.0,100,304.814934
-100.0,100,305.668666
-100.0,100,306.066719
-100.0,100,306.463045
-100.0,100,306.868027
-100.0,100,307.217134
-100.0,100,307.52724
-100.0,100,307.840604
-100.0,100,308.151677
-100.0,100,308.448132
-100.0,100,308.770013
-100.0,100,309.099328
-100.0,100,309.419985
-100.0,100,309.815383
-100.0,100,310.153039
-100.0,100,310.656827
-100.0,100,311.203167
-100.0,100,311.867878
-100.0,100,312.47582
-100.0,100,313.090606
-100.0,100,313.718864
-100.0,100,314.324107
-93.0,100,314.921844
-100.0,100,315.521773
-100.0,100,316.118078
-100.0,100,316.724665
