#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,481.365015
-100.0,100,482.900891
-39.0,100,484.556391
-100.0,100,486.194076
-100.0,100,487.803439
-100.0,100,489.145169
-99.0,100,490.521622
-100.0,100,492.162308
-100.0,100,493.768777
-100.0,100,495.322736
-100.0,100,496.769942
-100.0,100,498.320748
-100.0,100,499.926198
-9.0,100,501.572922
-71.0,100,503.191152
-100.0,100,504.773892
-100.0,100,506.32375
-100.0,100,507.725042
-100.0,100,509.348178
-100.0,100,510.934572
-54.0,100,512.528917
-100.0,100,514.138894
-100.0,100,515.722867
-100.0,100,517.276141
-100.0,100,518.819955
-100.0,100,520.406384
-100.0,100,522.077497
-100.0,100,523.593522
-100.0,100,524.853347
-100.0,100,526.222845
-62.0,100,527.662484
-100.0,100,529.357092
-100.0,100,530.983169
-100.0,100,532.517152
-100.0,100,534.11235
-100.0,100,535.550603
-100.0,100,537.085212
-100.0,100,538.656455
-100.0,100,540.296875
-100.0,100,541.719025
-71.0,100,543.055322
-100.0,100,544.395988
-100.0,100,545.878529
-100.0,100,547.564232
-100.0,100,549.153926
-100.0,100,550.720092
-100.0,100,552.353559
-100.0,100,553.782674
-100.0,100,555.2411
-100.0,100,556.852392
-100.0,100,558.466438
-100.0,100,560.074785
-100.0,100,561.603374
-100.0,100,563.17208
-100.0,100,564.791489
-100.0,100,566.379006
-100.0,100,567.926642
-25.0,100,569.52342
-100.0,100,571.159699
-77.0,100,572.772726
-100.0,100,574.321522
-100.0,100,575.730182
-100.0,100,577.306108
-100.0,100,578.745973
-29.0,100,580.161953
-100.0,100,581.786835
-90.0,100,583.383354
-100.0,100,584.842357
-100.0,100,586.134542
-100.0,100,587.456414
-100.0,100,588.932392
-100.0,100,590.578144
-100.0,100,592.163461
-100.0,100,593.735604
-100.0,100,595.34458
-100.0,100,596.799915
-100.0,100,598.256259
-100.0,100,599.907504
-100.0,100,601.530741
-100.0,100,603.054001
-100.0,100,604.424593
-100.0,100,605.999354
-100.0,100,607.637484
-100.0,100,609.220984
-100.0,100,610.705613
-100.0,100,612.133925
-100.0,100,613.759054
-100.0,100,615.369579
-100.0,100,616.807067
-60.0,100,618.303614
-100.0,100,619.920178
-100.0,100,621.490419
-61.0,100,622.899519
-29.0,100,624.471671
-100.0,100,626.281328
-100.0,100,627.859939
-100.0,100,629.423415
-80.0,100,630.953018
-100.0,100,632.457603
-100.0,100,633.973523
-100.0,100,635.593386
-100.0,100,637.153954
-100.0,100,638.468908
-100.0,100,639.915396
-100.0,100,641.318313
-100.0,100,642.903672
-100.0,100,644.526816
-56.0,100,646.037568
-100.0,100,647.300594
-100.0,100,648.607044
-100.0,100,650.086253
-100.0,100,651.781693
-100.0,100,653.385949
-50.0,100,654.942143
-100.0,100,656.537352
-100.0,100,658.113425
-100.0,100,659.679599
-100.0,100,661.220556
-23.0,100,662.853428
-100.0,100,664.429582
-100.0,100,665.994976
-100.0,100,667.590602
-100.0,100,669.027876
-100.0,100,670.59223
-49.0,100,672.177413
-100.0,100,673.735007
-100.0,100,675.155967
-100.0,100,676.72102
-100.0,100,678.332478
-100.0,100,679.95649
-24.0,100,681.561077
-100.0,100,682.978846
-66.0,100,684.29032
-94.0,100,685.883226
-92.0,100,687.534331
-100.0,100,689.169506
-100.0,100,690.439566
-83.0,100,691.82248
-100.0,100,693.145336
-100.0,100,694.8174
-100.0,100,696.367194
-100.0,100,697.918447
-100.0,100,699.520145
-100.0,100,701.092122
-100.0,100,702.66087
-100.0,100,704.232588
-100.0,100,705.841914
-6.0,100,707.414059
-100.0,100,708.752173
-100.0,100,710.251462
-100.0,100,711.850533
-100.0,100,713.362957
-100.0,100,714.7893
-100.0,100,716.367946
-100.0,100,717.988326
-86.0,100,719.550225
-100.0,100,721.164155
-100.0,100,722.739896
