#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,960.106987
-100.0,100,961.436075
-100.0,100,962.914498
-100.0,100,964.5486
-100.0,100,965.948224
-100.0,100,967.329357
-100.0,100,968.597361
-7.0,100,969.825526
-6.0,100,971.239635
-100.0,100,972.849822
-100.0,100,974.611813
-100.0,100,976.11537
-48.0,100,977.337881
-100.0,100,978.67745
-100.0,100,979.976395
-45.0,100,981.593833
-100.0,100,983.140408
-100.0,100,984.667312
-100.0,100,986.07767
-100.0,100,987.583465
-100.0,100,988.978833
-100.0,100,990.833994
-100.0,100,992.258169
-100.0,100,993.747185
-100.0,100,995.238463
-100.0,100,996.639991
-100.0,100,998.19391
-100.0,100,999.794264
-100.0,100,1001.228725
-100.0,100,1002.719662
-100.0,100,1004.223714
-100.0,100,1005.597675
-100.0,100,1007.110918
-100.0,100,1008.606837
-100.0,100,1010.058358
-100.0,100,1011.679789
-100.0,100,1013.112028
-100.0,100,1014.506544
-100.0,100,1015.874578
-100.0,100,1017.370308
-100.0,100,1018.919316
-100.0,100,1020.561298
-100.0,100,1021.958826
-100.0,100,1023.219171
-100.0,100,1024.56938
-70.0,100,1026.088687
-20.0,100,1027.732062
-100.0,100,1029.326967
-100.0,100,1030.774157
-100.0,100,1032.227937
-98.0,100,1033.587043
-100.0,100,1034.947392
-100.0,100,1036.491189
-100.0,100,1037.892567
-100.0,100,1039.367689
-100.0,100,1040.860698
-100.0,100,1042.229403
-100.0,100,1043.791829
-100.0,100,1045.38447
-100.0,100,1046.84641
-100.0,100,1048.26717
-100.0,100,1049.772928
-100.0,100,1051.155512
-100.0,100,1052.701149
-100.0,100,1054.183572
-100.0,100,1055.598541
-100.0,100,1057.17345
-100.0,100,1058.607149
-100.0,100,1059.996066
-100.0,100,1061.422923
-14.0,100,1062.880802
-18.0,100,1064.466024
-18.0,100,1065.864913
-100.0,100,1067.28755
-100.0,100,1068.715292
-100.0,100,1070.208312
-100.0,100,1071.802909
-100.0,100,1073.375028
-100.0,100,1074.933293
-100.0,100,1076.500229
-100.0,100,1077.758045
-34.0,100,1079.03933
-100.0,100,1080.363445
-100.0,100,1081.931665
-100.0,100,1083.423036
-98.0,100,1084.85898
-21.0,100,1086.19416
-100.0,100,1087.654558
-100.0,100,1089.031962
-100.0,100,1090.631538
-100.0,100,1092.175885
-100.0,100,1093.916421
-100.0,100,1095.429948
-32.0,100,1096.819889
-100.0,100,1098.350074
-100.0,100,1099.910371
-5.0,100,1101.362931
-100.0,100,1102.811945
-100.0,100,1104.330926
-8.0,100,1105.714627
-100.0,100,1107.226931
-99.0,100,1108.784391
-100.0,100,1110.336721
-88.0,100,1111.829503
-100.0,100,1113.237905
-100.0,100,1114.787362
-100.0,100,1116.350978
-100.0,100,1117.940683
-100.0,100,1119.452274
-60.0,100,1120.881768
-48.0,100,1122.391274
-100.0,100,1123.783931
-47.0,100,1125.287738
-100.0,100,1126.682377
-100.0,100,1128.34197
-1.0,100,1130.03082
-100.0,100,1131.54137
-33.0,100,1132.816256
-100.0,100,1134.100674
-13.0,100,1135.598493
-100.0,100,1137.189626
-100.0,100,1138.773075
-17.0,100,1140.25023
-100.0,100,1141.653538
-100.0,100,1143.0163
-100.0,100,1144.368563
-100.0,100,1146.007989
-19.0,100,1147.834189
-100.0,100,1149.456513
-100.0,100,1150.994201
-3.0,100,1152.4193
-100.0,100,1154.031813
-100.0,100,1155.58027
-100.0,100,1157.200507
-100.0,100,1158.816993
-100.0,100,1160.210737
-100.0,100,1161.692757
-100.0,100,1163.2429
-100.0,100,1164.807361
-100.0,100,1166.368321
-20.0,100,1167.86002
-100.0,100,1169.315286
-100.0,100,1170.729262
-100.0,100,1172.274086
-100.0,100,1173.822899
-100.0,100,1175.238325
-7.0,100,1176.840197
-100.0,100,1178.36837
-100.0,100,1179.812848
-100.0,100,1181.201901
-2.0,100,1182.81759
-95.0,100,1184.469701
-100.0,100,1186.055106
-32.0,100,1187.267369
-100.0,100,1188.505893
-100.0,100,1189.95259
-100.0,100,1191.618403
-100.0,100,1193.272158
-100.0,100,1194.979101
-100.0,100,1196.547271
-100.0,100,1198.065852
-100.0,100,1199.296432
-100.0,100,1200.868062
-100.0,100,1202.503617
-74.0,100,1204.062249
-100.0,100,1205.453962
-100.0,100,1207.007621
-100.0,100,1208.578109
-82.0,100,1210.134884
